Artwork_20,Artwork_21,Artwork_22,Artwork_23,Artwork_24,Artwork_25,Artwork_26,Artwork_27,Artwork_28,Artwork_30
44,47,70,36,46,33,77,38,75,40
46,42,70,44,42,58,62,30,40,28
7,74,54,31,58,52,25,31,69,31
31,55,56,29,60,70,49,34,82,27
15,72,66,16,21,62,43,37,78,20
47,54,70,21,27,70,59,36,64,19
50,65,50,23,66,21,75,36,39,23
41,56,48,48,30,67,45,30,43,30
6,86,46,29,25,77,48,34,94,38
19,81,56,40,73,27,67,29,66,32
52,76,58,21,65,32,47,32,86,38
14,74,49,17,37,23,42,35,87,31
34,49,61,22,29,32,32,36,57,32
10,91,62,26,26,65,56,30,52,30
27,79,56,35,77,27,78,35,83,23
28,67,52,50,67,78,71,34,71,38
11,37,64,41,30,43,76,35,58,23
45,38,50,44,70,78,68,29,50,38
38,71,69,33,46,28,63,33,76,26
41,71,52,26,22,36,71,36,19,24
24,53,54,17,70,66,68,38,35,31
27,88,57,50,50,28,57,37,42,29
4,37,48,25,49,38,36,30,41,33
48,49,47,41,38,38,44,29,75,28
31,89,52,45,27,62,54,34,88,36
3,88,52,49,49,43,20,36,33,19
10,61,68,22,74,50,66,32,32,40
15,57,57,48,55,51,76,33,56,38
34,41,49,17,61,48,75,34,90,25
40,64,47,30,43,25,73,34,31,29
3,87,59,16,38,61,67,34,52,35
42,54,65,21,21,64,76,37,21,33
3,60,62,45,69,35,63,35,75,34
12,84,48,16,76,36,49,34,88,38
27,50,56,25,42,69,83,30,91,30
10,63,52,18,57,53,56,31,20,22
24,72,68,49,72,45,59,31,56,35
42,56,58,24,56,29,77,38,72,25
15,83,57,37,32,69,28,33,88,26
15,56,52,18,77,25,34,38,47,26
17,64,59,22,72,39,63,36,56,23
7,54,52,24,65,27,75,36,71,30
51,42,51,23,40,24,37,31,70,37
36,62,60,17,54,71,72,32,81,33
49,85,69,24,58,71,68,32,91,34
37,59,70,17,25,71,82,31,88,29
8,42,59,29,75,48,23,34,32,32
23,47,59,48,47,64,61,29,46,24
35,80,69,19,76,48,36,34,64,22
20,41,49,29,28,69,48,30,77,26
34,60,67,32,57,72,80,38,66,19
35,65,64,30,28,74,67,36,32,30
48,52,60,36,77,52,43,35,32,34
20,61,56,19,61,60,24,29,37,27
54,38,51,44,58,35,58,38,43,36
28,47,55,45,76,46,41,30,74,39
3,89,64,27,59,65,78,37,72,25
49,50,56,42,38,71,31,29,29,26
36,85,70,19,60,68,54,30,87,37
10,41,55,45,66,76,46,29,84,23
40,73,51,22,37,23,77,34,93,27
40,73,63,20,45,60,83,30,91,40
14,65,52,30,77,72,42,32,27,25
17,82,71,25,32,77,56,29,78,38
9,76,48,36,33,69,23,30,20,26
40,40,47,39,77,59,59,32,51,34
25,86,48,36,59,33,71,38,80,20
21,78,50,18,28,62,48,30,22,36
33,84,65,38,76,63,29,33,74,28
26,91,68,37,38,71,60,35,75,24
39,39,54,18,33,37,83,30,37,39
33,82,71,39,41,59,79,34,92,29
51,47,52,20,66,49,51,33,68,39
8,91,51,31,34,51,41,31,92,25
30,75,55,48,37,74,63,35,42,38
22,42,52,35,36,72,45,37,95,27
26,73,56,22,73,62,55,29,38,28
13,43,51,36,66,22,31,36,39,21
4,64,48,48,22,35,58,29,30,28
8,60,69,23,75,72,41,35,84,26
17,39,64,32,51,42,22,37,71,32
23,75,69,17,62,67,70,38,42,36
47,47,46,48,35,43,64,35,89,26
22,45,65,41,51,57,67,37,38,36
21,62,61,29,47,52,53,38,30,38
51,59,68,29,51,65,27,31,23,40
40,57,71,31,75,39,42,32,34,20
26,84,51,16,64,63,65,31,77,33
20,67,49,34,77,60,71,29,77,33
39,53,49,46,38,34,64,33,32,19
14,71,48,27,72,47,41,32,92,30
48,68,60,51,57,78,40,30,78,38
31,76,52,23,49,50,21,30,95,40
15,46,62,38,57,26,74,29,53,35
33,63,49,47,61,33,64,30,85,33
39,67,67,19,32,48,52,35,88,27
49,77,51,46,61,62,61,35,72,34
26,77,55,39,66,26,31,37,70,20
50,77,67,21,47,75,59,29,46,26
19,53,69,34,40,29,31,31,62,26
24,52,47,33,50,46,41,31,27,31
9,73,66,38,30,30,63,30,52,26
15,59,56,30,67,81,46,30,63,27
50,87,59,31,68,49,65,30,81,39
36,54,64,45,28,76,66,37,53,25
47,42,50,34,54,75,32,36,92,33
4,44,63,36,32,61,41,32,22,19
18,54,66,32,61,70,54,32,43,33
17,48,55,36,66,28,83,38,27,35
30,70,49,48,43,28,54,33,54,23
47,82,65,20,64,71,33,30,94,20
19,38,64,19,31,56,21,38,81,29
42,62,71,17,61,46,66,33,87,28
48,69,55,48,60,62,37,36,55,25
29,75,68,49,45,58,30,35,87,24
43,58,59,51,25,59,71,37,34,25
28,50,64,32,48,69,80,37,81,23
46,81,70,45,76,81,36,33,70,20
26,37,48,39,23,66,29,31,59,34
8,70,56,21,64,39,40,36,26,30
7,91,61,19,26,72,44,29,66,34
28,57,71,30,67,68,27,35,45,34
48,72,58,17,75,42,20,30,55,28
20,80,58,25,27,28,21,37,32,21
28,71,65,32,51,27,22,36,68,33
13,61,63,32,51,47,82,34,38,29
52,59,72,24,60,70,21,34,59,32
28,66,71,18,56,52,48,31,75,26
53,65,71,18,31,52,69,30,64,30
22,44,56,32,49,47,49,36,90,31
32,70,60,27,32,21,26,37,40,38
19,42,67,41,22,66,83,37,28,19
45,75,61,33,40,59,21,32,49,37
53,82,62,28,70,27,55,38,35,33
31,60,60,30,67,46,25,34,72,40
28,83,53,21,64,24,54,36,83,36
44,69,48,51,51,38,51,34,58,26
54,64,64,29,68,45,77,29,55,32
34,76,63,28,24,59,80,31,68,40
22,37,54,33,54,42,62,36,85,39
38,77,72,30,30,74,53,29,38,33
9,76,48,40,26,30,75,35,43,37
10,84,59,38,55,60,78,35,27,39
54,64,62,22,77,56,77,30,52,33
20,54,57,19,38,80,81,37,34,40
29,88,53,31,28,45,35,37,39,25
6,90,49,39,32,40,70,29,19,30
38,85,60,20,56,49,66,38,67,21
3,63,71,21,71,65,49,32,44,34
4,71,54,17,34,27,58,33,25,36
36,63,53,41,34,55,34,36,19,26
18,44,71,34,25,73,43,32,57,25
22,37,56,26,31,65,36,30,51,33
25,72,60,38,46,32,42,31,53,30
26,71,51,43,74,46,70,33,59,24
52,65,66,23,44,80,63,34,65,24
44,47,62,25,41,80,35,33,61,32
20,63,56,19,68,58,30,35,92,23
48,73,58,28,63,75,78,36,43,20
51,89,47,37,73,67,26,34,42,30
41,83,56,50,40,79,35,36,89,40
32,81,64,33,63,43,30,34,84,22
12,68,46,40,38,27,33,36,84,28
12,91,59,47,46,65,74,36,87,30
50,66,58,18,65,25,26,33,88,38
12,39,56,26,40,48,34,32,18,31
42,81,53,36,47,55,36,33,34,35
49,75,50,27,68,63,32,31,87,24
37,43,64,36,75,61,76,38,88,24
33,65,53,46,55,68,59,29,50,30
25,54,67,16,76,51,22,30,39,25
