Artwork_20,Artwork_21,Artwork_22,Artwork_23,Artwork_24,Artwork_25,Artwork_26,Artwork_27,Artwork_28,Artwork_30
58,40,39,51,38,78,50,45,57,38
52,21,23,46,14,62,31,53,55,70
70,67,38,57,28,44,31,60,30,25
65,47,26,53,40,84,32,30,38,13
57,48,17,57,33,83,21,43,6,24
54,51,13,57,14,53,24,14,16,27
67,31,14,55,30,67,41,43,53,61
75,71,19,52,44,66,41,44,48,28
63,74,9,43,9,46,19,47,13,16
55,75,31,44,40,48,52,41,18,60
60,61,21,56,44,67,35,38,43,14
63,20,28,52,20,44,55,35,51,19
49,40,19,44,41,55,18,36,9,68
70,34,17,51,32,68,42,45,36,17
48,25,26,42,28,57,33,10,15,63
62,38,39,47,16,51,30,9,5,32
55,35,22,51,30,84,49,30,32,16
70,22,8,55,20,50,35,14,9,22
70,31,31,56,12,49,45,61,54,39
60,77,8,40,30,42,32,37,56,25
49,30,10,50,28,44,52,12,16,31
66,70,40,55,35,77,44,11,14,61
67,33,27,42,35,77,34,49,34,45
59,57,18,47,45,83,23,20,47,23
75,54,42,49,12,56,49,28,13,17
72,28,8,47,29,45,51,59,44,20
63,44,18,53,27,44,42,52,54,62
66,23,28,40,10,47,38,22,3,59
50,24,32,57,10,57,36,31,27,14
67,22,14,47,39,42,30,30,27,16
56,67,23,42,32,59,49,57,49,32
75,61,28,51,43,77,33,34,34,67
49,61,17,55,16,55,40,43,51,52
62,42,26,39,15,59,48,39,17,15
62,41,10,52,28,46,16,56,17,52
49,37,22,44,13,55,28,62,28,70
70,53,17,50,18,67,28,62,17,53
50,39,8,46,14,45,19,39,44,24
73,50,41,40,30,50,39,51,23,60
75,43,31,43,31,45,22,44,45,66
64,33,21,55,35,81,30,61,20,22
50,70,16,50,15,70,25,33,8,59
57,34,33,45,27,70,32,49,5,15
54,41,26,47,30,77,21,62,31,65
50,36,31,51,40,66,23,56,6,28
56,63,33,45,41,49,14,41,55,62
75,21,32,55,36,80,55,59,10,69
54,56,11,39,45,80,49,57,11,18
