Artwork_20,Artwork_21,Artwork_22,Artwork_23,Artwork_24,Artwork_25,Artwork_26,Artwork_27,Artwork_28,Artwork_30
32,40,59,58,22,51,30,60,65,29
48,36,39,64,19,58,30,45,61,47
41,51,51,85,32,45,20,61,66,37
38,48,38,81,29,49,28,50,56,18
43,42,51,65,30,50,26,42,46,42
38,44,35,77,26,54,30,43,46,54
44,41,64,82,15,46,20,49,46,38
28,53,61,88,21,45,30,48,76,59
47,35,65,81,28,56,24,53,63,18
35,36,48,85,15,50,24,57,57,9
47,41,46,50,28,54,25,43,48,54
32,51,57,70,20,45,30,55,67,40
40,35,65,50,32,47,25,49,76,47
30,41,40,82,35,46,30,57,60,59
31,33,59,49,20,48,26,58,55,43
58,54,37,56,33,48,21,42,37,40
31,42,51,85,28,57,23,53,59,19
59,33,46,88,23,50,20,63,36,12
56,50,63,58,20,49,30,41,62,36
55,53,65,79,22,57,25,62,69,35
50,44,65,53,34,47,24,47,62,37
41,35,33,47,15,53,23,57,48,27
65,54,42,89,21,54,26,48,43,37
46,40,31,70,36,56,19,57,42,14
42,51,44,68,29,53,30,52,69,42
42,39,31,68,22,57,29,59,56,15
32,50,56,91,16,55,26,57,52,29
37,45,41,66,27,46,19,50,45,18
49,51,42,76,31,55,23,49,44,9
56,34,32,88,25,56,24,63,51,35
53,44,29,96,32,50,26,60,76,26
61,54,30,77,30,53,27,59,39,26
28,51,36,67,31,49,25,56,44,33
37,50,61,81,36,55,19,41,42,23
61,43,44,68,26,57,29,47,60,18
56,43,49,66,34,53,24,46,68,31
58,39,55,57,15,46,20,57,57,48
29,39,47,94,35,51,22,59,40,22
36,48,64,88,29,51,25,59,44,18
32,50,39,91,21,42,24,54,60,52
49,44,49,92,27,55,30,46,46,18
60,34,38,59,18,58,19,46,49,12
50,40,36,72,21,49,20,55,36,9
57,35,61,84,22,58,21,55,50,11
47,45,32,51,17,47,23,41,71,25
58,39,41,61,30,50,24,63,64,15
45,49,33,91,20,56,30,55,47,9
51,42,38,48,21,57,20,59,71,25
55,54,65,54,36,55,22,45,47,47
32,34,38,58,29,57,29,45,43,42
41,45,33,93,21,43,26,61,53,37
60,39,30,64,26,50,22,42,57,42
58,40,47,93,18,52,27,57,74,56
65,47,50,67,35,45,25,54,42,41
37,41,33,79,33,52,27,47,41,31
42,51,35,96,36,42,21,57,56,12
37,48,62,53,18,42,19,47,51,42
57,54,36,49,35,47,21,53,57,20
31,50,57,71,28,55,19,42,59,40
52,36,30,76,25,58,19,47,67,23
34,41,44,55,34,52,19,46,48,23
52,44,35,52,26,55,30,46,45,55
52,35,44,88,29,55,24,54,66,41
58,53,54,57,34,48,22,61,66,18
44,38,63,97,35,51,30,44,61,44
45,52,61,66,15,58,27,61,52,20
39,54,48,62,32,55,25,41,65,30
35,52,38,85,16,57,30,53,54,37
42,42,40,80,33,50,29,48,36,57
62,43,52,65,18,47,30,41,55,55
28,50,47,91,22,44,28,58,49,53
34,51,30,51,35,43,20,42,69,32
